"","INSEE","ABST2","PCFNT2","winnerT2"
"602","02186",34.59,43.16,"LUD"
"603","02187",37.42,36.17,"LUD"
"604","02188",39.86,62.2,"LFN"
"605","02189",37.08,62.5,"LFN"
"606","02190",38.95,65.86,"LFN"
"607","02191",22.22,50,"LUD"
"608","02192",38.17,61.15,"LFN"
"609","02193",21.05,60.98,"LFN"
"610","02194",26.79,56.76,"LFN"
"611","02195",34.32,58.23,"LFN"
"612","02196",36.29,58.44,"LFN"
"613","02197",31.13,46.42,"LUD"
"614","02198",46.03,42.22,"LUD"
"615","02199",33.73,55.6,"LFN"
"616","02200",33.72,40.35,"LUD"
"617","02201",35.34,60.42,"LFN"
"618","02203",35.25,53.07,"LFN"
"619","02204",23.44,35.42,"LUD"
"620","02205",33.08,58.23,"LFN"
"621","02206",24.32,38.89,"LUD"
"622","02207",32.28,37.37,"LUD"
"623","02208",37.76,55.45,"LFN"
"624","02209",43.76,50,"LUD"
"625","02210",43.69,60.63,"LFN"
"626","02211",40.7,49.56,"LUD"
"627","02212",36.97,50.17,"LFN"
"628","02213",42.5,48.85,"LUD"
"629","02214",37.84,43.48,"LUD"
"630","02215",35.13,48.39,"LUD"
"631","02216",32.34,49.67,"LUD"
"632","02217",32.62,41.33,"LUD"
"633","02218",36.98,43.64,"LUD"
"634","02219",30.17,47.95,"LUD"
"635","02220",34.66,49.03,"LUD"
"636","02221",52.46,76.47,"LFN"
"637","02222",25.93,35,"LUD"
"638","02223",36.7,48.7,"LUD"
"639","02224",43.54,62.59,"LFN"
"640","02225",36.76,60,"LFN"
"641","02226",36.63,53.76,"LFN"
"642","02227",33.65,67.19,"LFN"
"643","02228",38.42,46.23,"LUD"
"644","02229",23.08,17.65,"LUD"
"645","02230",32.21,45.65,"LUD"
"646","02231",33.16,45.07,"LUD"
"647","02232",30.17,53.33,"LFN"
"648","02233",32.74,55.41,"LFN"
"649","02234",22.62,36.67,"LUD"
"650","02235",36.96,47.17,"LUD"
"651","02236",42.62,58.46,"LFN"
"652","02237",41.82,58.02,"LFN"
"653","02238",36.48,50.63,"LFN"
"654","02239",45.65,43.65,"LUD"
"655","02240",29.89,32.71,"LUD"
"656","02241",29.63,41.18,"LUD"
"657","02242",37.12,45.88,"LUD"
"658","02243",39.98,47.9,"LUD"
"659","02244",26.67,34.38,"LUD"
"660","02245",36.24,49.93,"LUD"
"661","02246",34.62,55.64,"LFN"
"662","02248",25.81,51.72,"LFN"
"663","02249",28.75,35.85,"LUD"
"664","02250",33.9,48.65,"LUD"
"665","02251",29.41,66.67,"LFN"
"666","02252",29.51,51.16,"LFN"
"667","02253",35.74,56.22,"LFN"
"668","02254",43.48,24,"LUD"
"669","02255",27.88,62.07,"LFN"
"670","02256",31.25,47.3,"LUD"
"671","02257",29.59,36.79,"LUD"
