"","lepen","sarkozy","hollande","INSEE","PCwinner","winner"
"5528",24.72,25.84,23.6,"16041",25.84,"sarkozy"
"5529",16.96,22.32,33.04,"16042",33.04,"hollande"
"5530",29.61,17.11,25.66,"16043",29.61,"lepen"
"5531",19.23,21.79,25.64,"16044",25.64,"hollande"
"5532",30.54,22.18,25.94,"16045",30.54,"lepen"
"5533",19.4,21.4,29.4,"16046",29.4,"hollande"
"5534",20.38,32.48,19.75,"16047",32.48,"sarkozy"
"5535",12.94,15.29,40,"16048",40,"hollande"
"5536",20.7,22.03,31.28,"16049",31.28,"hollande"
"5537",18.9,37.8,18.9,"16050",37.8,"sarkozy"
"5538",20.69,15.52,43.1,"16051",43.1,"hollande"
"5539",16.27,21.08,30.72,"16052",30.72,"hollande"
"5540",16.49,12.37,40.21,"16053",40.21,"hollande"
"5541",14.02,28.97,28.04,"16054",28.97,"sarkozy"
"5542",28.01,19.07,28.01,"16055",28.01,"hollande"
"5543",15.47,25.42,27.54,"16056",27.54,"hollande"
"5544",26.84,41.13,16.45,"16057",41.13,"sarkozy"
"5545",15.34,23.07,36.13,"16058",36.13,"hollande"
"5546",20,20,26,"16059",26,"hollande"
"5547",18.98,26.51,30.12,"16060",30.12,"hollande"
"5548",17.93,16.74,38.89,"16061",38.89,"hollande"
"5549",19.75,22.22,32.1,"16062",32.1,"hollande"
"5550",35.19,14.81,22.22,"16063",35.19,"lepen"
"5551",20.67,24.04,26.44,"16064",26.44,"hollande"
"5552",19.63,21.17,36.2,"16065",36.2,"hollande"
"5553",22.22,15.12,27.78,"16066",27.78,"hollande"
"5554",19.66,20.68,32.54,"16067",32.54,"hollande"
"5555",29.78,21,27.59,"16068",29.78,"lepen"
"5556",30.38,16.88,25.74,"16069",30.38,"lepen"
"5557",14.84,24.23,34.37,"16070",34.37,"hollande"
"5558",17.03,16.72,34.07,"16071",34.07,"hollande"
"5559",21.54,24.76,29.9,"16072",29.9,"hollande"
"5560",19.59,23.47,35.21,"16073",35.21,"hollande"
"5561",12.5,18.75,33.33,"16074",33.33,"hollande"
"5562",18.82,24.71,25.88,"16075",25.88,"hollande"
"5563",20.07,17.73,37.96,"16076",37.96,"hollande"
"5564",21.49,24.52,23.69,"16077",24.52,"sarkozy"
"5565",17.8,22.96,32.59,"16078",32.59,"hollande"
"5566",25.84,23.6,25.84,"16079",25.84,"hollande"
"5567",22.69,26.89,23.53,"16081",26.89,"sarkozy"
"5568",19.57,24.68,26.38,"16082",26.38,"hollande"
"5569",11.11,34.19,33.33,"16083",34.19,"sarkozy"
"5570",22.71,16.91,33.33,"16084",33.33,"hollande"
"5571",15.88,22.07,35.02,"16085",35.02,"hollande"
"5572",15.14,12.97,39.1,"16086",39.1,"hollande"
"5573",15.91,17.05,40.91,"16087",40.91,"hollande"
"5574",15.84,25.21,31.4,"16088",31.4,"hollande"
"5575",16.48,25.47,33.85,"16089",33.85,"hollande"
"5576",21.19,23.78,31.35,"16090",31.35,"hollande"
"5577",19.44,16.67,18.52,"16091",19.44,"lepen"
"5578",15.04,15.04,38.05,"16092",38.05,"hollande"
"5579",19.21,21.54,33.37,"16093",33.37,"hollande"
"5580",16.83,23.76,29.7,"16094",29.7,"hollande"
